District code,District name,School start date,Grades: In person,Grades: Hybrid,Grades: Remote,Percentage of students who are fully remote,Total number of students in the district,Predominant learning model ,Organization type,Alliance District,Reporting period,Update date
1270011,Sherman School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,9%,245,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1280011,Simsbury School District,08/31/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,17%,3946,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1290011,Somers School District,09/08/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,11%,1314,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1290321,The Speech Academy-Somersville,09/02/2020,"g1, g2, g3, g6, g8, g12",N/A,N/A,*,6,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1310011,Southington School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,16%,6156,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1320011,South Windsor School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,31%,4580,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1330011,Sprague School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,20%,248,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1340011,Stafford School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,21%,1347,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1350011,Stamford School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,22%,16773,,Public School Districts,Alliance,"September 7, 2020 - September 11, 2020",09/17/2020
1350161,Villa Maria Education Center,09/03/2020,"g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,*,13,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1351321,IPPI Learning Academy: Stamford,09/03/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,*,19,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1356621,The Spire School,09/08/2020,N/A,"g6, g7, g8, g9, g10, g11, g12",N/A,*,41,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1356721,"The Pinnacle School, LLC",09/08/2020,"g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,15%,68,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1360011,Sterling School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,26%,309,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1370011,Stonington School District,09/08/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,17%,1891,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1380011,Stratford School District,09/09/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,22%,6727,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1380121,IPPI Learning Academy: Stratford,09/03/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,18%,65,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1390011,Suffield School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,2075,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1400011,Thomaston School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,18%,816,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1410011,Thompson School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,26%,971,,Public School Districts,Alliance,"September 7, 2020 - September 11, 2020",09/17/2020
1410161,River Run Academy at the Susan Wayne Center of Excellence,08/31/2020,N/A,"g5, g6, g7, g8, g9, g10, g11, g12",N/A,,46,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1410221,Bradley School-Windham County,08/26/2020,"g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,13,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1420011,Tolland School District,09/08/2020,"PK, K","g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,14%,2243,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1430011,Torrington School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,30%,3671,,Public School Districts,Alliance,"September 7, 2020 - September 11, 2020",09/17/2020
1440011,Trumbull School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,14%,6746,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1250011,Sharon School District,09/08/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,13%,109,,Public School Districts,,"October 12, 2020 - October 16, 2020",10/22/2020
1440161,St. Vincent's Special Needs School Program,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,35%,77,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1450011,Union School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,24%,46,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1460011,Vernon School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,28%,3040,,Public School Districts,Alliance,"September 7, 2020 - September 11, 2020",09/17/2020
1470011,Voluntown School District,08/31/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,22%,211,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1480011,Wallingford School District,09/03/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,22%,5404,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1480161,Benhaven School,08/03/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,20%,40,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1480461,Benhaven Academy,09/01/2020,"g6, g7, g8, g9, g11, g12",N/A,"g4, g5, g10",*,28,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1480521,High Road Academy - BEST Academy,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,21%,39,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1485061,High Road School of Wallingford,08/31/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,30%,71,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1500161,Devereux Glenholme School,09/10/2020,"g7, g8, g9, g10, g11, g12",N/A,N/A,26%,65,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1510011,Waterbury School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,55%,18357,,Public School Districts,Opportunity,"September 7, 2020 - September 11, 2020",09/17/2020
1520011,Waterford School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,17%,2338,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1520161,Waterford Country School,08/31/2020,"g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,66,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1530011,Watertown School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7","g8, g9, g10, g11, g12",N/A,12%,2676,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1540011,Westbrook School District,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,13%,648,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1550011,West Hartford School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,16%,9229,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1550161,Gengras Center,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,22%,135,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1550261,Intensive Education Academy,09/08/2020,"g1, g2, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,29%,72,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1550361,American School for the Deaf,09/02/2020,N/A,N/A,N/A,,90,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1550561,Ben Bronz Academy,09/08/2020,N/A,"g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,*,48,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1550861,PACES,09/02/2020,N/A,N/A,N/A,*,9,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1560011,West Haven School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,28%,5681,,Public School Districts,Alliance,"September 7, 2020 - September 11, 2020",09/17/2020
1570011,Weston School District,09/08/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,13%,2279,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1580011,Westport School District,09/08/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,8%,5348,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1590011,Wethersfield School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,16%,3537,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1600011,Willington School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,25%,404,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1610011,Wilton School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,12%,3745,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1610221,Westport Day School,09/08/2020,N/A,"g8, g9, g10, g11, g12",N/A,*,15,,Approved Private Special Education Program,,"September 7, 2020 - September 11, 2020",09/17/2020
1620011,Winchester School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,18%,536,,Public School Districts,Alliance,"September 7, 2020 - September 11, 2020",09/17/2020
0500011,Essex School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6",N/A,13%,310,,Public School Districts,,"October 5, 2020 - October 9, 2020",10/15/2020
1630011,Windham School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,31%,3258,,Public School Districts,Alliance,"September 7, 2020 - September 11, 2020",09/17/2020
1640011,Windsor School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,29%,3332,,Public School Districts,Alliance,"September 7, 2020 - September 11, 2020",09/17/2020
1650011,Windsor Locks School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,33%,1546,,Public School Districts,Alliance,"September 7, 2020 - September 11, 2020",09/17/2020
1660011,Wolcott School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,15%,2150,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
1690011,Woodstock School District,08/30/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,14%,923,,Public School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2010012,Regional School District 01,09/08/2020,N/A,"g9, g10, g11, g12",N/A,18%,319,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2040012,Regional School District 04,09/01/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,14%,824,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2050012,Regional School District 05,08/31/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,11%,2172,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2060012,Regional School District 06,08/26/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,11%,888,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2070012,Regional School District 07,08/31/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,10%,989,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2080012,Regional School District 08,09/08/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,10%,1282,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2090012,Regional School District 09,09/08/2020,N/A,"g9, g10, g11, g12",N/A,7%,828,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2100012,Regional School District 10,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,10%,2200,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2110012,Regional School District 11,08/31/2020,"g7, g8, g9, g10, g11, g12",N/A,N/A,15%,205,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2120012,Regional School District 12,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,18%,691,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2130012,Regional School District 13,09/03/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,13%,1423,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2140012,Regional School District 14,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8, g9, g10, g11, g12",N/A,13%,1583,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2150012,Regional School District 15,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,13%,3497,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2160012,Regional School District 16,09/01/2020,"K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,10%,2005,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2170012,Regional School District 17,09/01/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,11%,1876,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2180012,Regional School District 18,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,10%,1286,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2190012,Regional School District 19,09/09/2020,N/A,"g9, g10, g11, g12",N/A,25%,1103,,Regional School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2410014,Capitol Region Education Council,09/09/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,34%,8501,,Regional Education Service Center School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2420014,EdAdvance,08/26/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,14%,238,,Regional Education Service Center School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2430014,Cooperative Educational Services,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,21%,783,,Regional Education Service Center School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2440014,Area Cooperative Educational Services,09/03/2020,"K, g1, g2, g3, g4, g5, g9, g10, g11, g12","g6, g7, g8",N/A,16%,2692,,Regional Education Service Center School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2450014,Learn,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,29%,2303,,Regional Education Service Center School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),09/08/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,27%,449,,Regional Education Service Center School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2610013,Jumoke Academy District,09/03/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,37%,663,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2630013,Odyssey Community School District,09/02/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,42%,328,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2640013,Integrated Day Charter School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,30%,353,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2650013,Interdistrict School for Arts and Comm District,08/31/2020,N/A,"g6, g7, g8",N/A,41%,279,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2680013,Common Ground High School District,09/04/2020,N/A,"g9, g10, g11, g12",N/A,41%,236,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2690013,The Bridge Academy District,09/08/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,34%,289,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2700013,Side By Side Charter School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,16%,234,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2720013,Explorations District,08/31/2020,N/A,"g9, g10, g11, g12",N/A,19%,84,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2790013,Amistad Academy District,09/02/2020,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",100%,1606,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2800013,New Beginnings Inc Family Academy District,09/08/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,31%,478,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2830013,Park City Prep Charter School District,09/08/2020,N/A,"g5, g6, g7, g8",N/A,32%,360,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2850013,Achievement First Bridgeport Academy District,09/02/2020,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8",100%,838,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2860013,Highville Charter School District,09/08/2020,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",100%,449,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2880013,Achievement First Hartford Academy District,09/02/2020,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",100%,1213,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2890013,Elm City College Preparatory School District,09/02/2020,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8",100%,586,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2900013,Brass City Charter School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,47%,358,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2910013,Elm City Montessori School District,09/03/2020,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6",100%,260,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2940013,Great Oaks Charter School District,09/08/2020,N/A,"g6, g7, g8, g9, g10, g11, g12",N/A,33%,661,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2950013,Booker T. Washington Academy District,09/03/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7",N/A,38%,451,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2960013,Stamford Charter School for Excellence District,09/08/2020,N/A,"K, g1, g2, g3, g4, g5, g6",N/A,44%,385,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
2970013,Capital Preparatory Harbor School District,08/31/2020,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",99%,772,,Public Charter School Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
9000016,Connecticut Technical Education and Career System,09/02/2020,g9,"g10, g11",g12,41%,11361,,CT Technical Education and Career Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
9010022,Norwich Free Academy District,08/31/2020,N/A,"g9, g10, g11, g12",N/A,19%,2103,,Endowed and Incorporated Academies Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
9020022,The Gilbert School District,09/08/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,15%,438,,Endowed and Incorporated Academies Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
9030022,The Woodstock Academy District,09/01/2020,N/A,N/A,"g9, g10, g11, g12",98%,1084,,Endowed and Incorporated Academies Districts,,"September 7, 2020 - September 11, 2020",09/17/2020
0010011,Andover School District,09/10/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,11%,174,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0020011,Ansonia School District,09/04/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,34%,2240,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0030011,Ashford School District,09/05/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,34%,362,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0040011,Avon School District,09/02/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,3116,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0046821,The Webb School in the Valley,09/04/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,23,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0046921,Oak Hill School at Farmington Valley Montessori,07/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,14,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0050011,Barkhamsted School District,09/02/2020,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,16%,191,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0070011,Berlin School District,09/10/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,11%,2686,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0080011,Bethany School District,09/04/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,14%,369,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0090011,Bethel School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,21%,3066,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0100161,Arch Bridge School,08/29/2020,"g9, g10, g11, g12",N/A,N/A,*,11,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0110011,Bloomfield School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,43%,2052,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0120011,Bolton School District,09/04/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,18%,749,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0130011,Bozrah School District,09/02/2020,"PK, K, g1, g2, g3","g4, g5, g6, g7, g8",N/A,24%,185,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0140011,Branford School District,09/12/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",12%,2575,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0150011,Bridgeport School District,09/10/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,40%,19416,,Public School Districts,Opportunity,"September 14, 2020 - September 18, 2020",09/24/2020
0170011,Bristol School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",37%,7614,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0170561,Oak Hill School at Hartford Secondary,07/08/2020,"g8, g9, g10, g11, g12",N/A,N/A,*,12,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0170821,Connecticut Junior Republic-Bristol,09/03/2020,"g8, g9, g10, g12",N/A,g11,*,9,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0180011,Brookfield School District,09/10/2020,"PK, K","g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,20%,2549,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0190011,Brooklyn School District,09/02/2020,N/A,"PK, K, g1, g2, g3, g4","g5, g6, g7, g8",26%,826,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0190161,The Learning Clinic,09/10/2020,N/A,"g5, g6, g7, g8, g9, g10, g11, g12",N/A,*,41,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0210011,Canaan School District,09/10/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,22%,67,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0220011,Canterbury School District,09/02/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,15%,431,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0230011,Canton School District,09/02/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,14%,1536,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0230121,Fresh Start School,08/28/2020,"g7, g8, g10, g11, g12",N/A,N/A,*,16,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0240011,Chaplin School District,09/02/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,7%,129,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
